Date,Value,Anomaly
200901,20.6,-5.0
200902,32.5,2.7
200903,43.6,1.2
200904,51.4,-2.4
200905,62.8,-0.9
200906,72.7,-0.3
200907,70.3,-5.1
200908,70.9,-2.5
200909,65.9,-1.3
200910,50.1,-5.1
200911,47.2,4.1
200912,29.1,-2.6
201001,21.5,-4.1
201002,25.7,-4.1
201003,43.8,1.4
201004,58.7,4.9
201005,64.3,0.6
201006,74.9,1.9
201007,77.6,2.2
201008,76.8,3.4
201009,67.2,0.0
201010,56.5,1.3
201011,43.7,0.6
201012,24.0,-7.7
201101,22.7,-2.9
201102,30.2,0.4
201103,41.6,-0.8
201104,53.1,-0.7
201105,62.1,-1.6
201106,72.9,-0.1
201107,79.9,4.5
201108,74.8,1.4
201109,63.6,-3.6
201110,55.2,0.0
201111,45.8,2.7
201112,35.9,4.2
201201,31.9,6.3
201202,35.8,6.0
201203,55.5,13.1
201204,54.6,0.8
201205,68.1,4.4
201206,72.6,-0.4
201207,81.8,6.4
201208,73.6,0.2
201209,64.9,-2.3
201210,52.5,-2.7
201211,41.2,-1.9
201212,36.8,5.1
201301,29.2,3.6
201302,29.9,0.1
201303,34.3,-8.1
201304,50.2,-3.6
201305,63.9,0.2
201306,71.5,-1.5
201307,73.1,-2.3
201308,72.8,-0.6
201309,68.6,1.4
201310,54.5,-0.7
201311,38.8,-4.3
201312,26.2,-5.5
201401,19.3,-6.3
201402,19.4,-10.4
201403,34.4,-8.0
201404,52.4,-1.4
201405,63.7,0.0
201406,73.0,0.0
201407,70.3,-5.1
201408,73.8,0.4
201409,64.7,-2.5
201410,54.3,-0.9
201411,34.6,-8.5
201412,33.9,2.2
201501,25.7,0.1
201502,19.4,-10.4
201503,38.3,-4.1
201504,54.3,0.5
201505,64.9,1.2
201506,71.7,-1.3
201507,74.2,-1.2
201508,71.9,-1.5
201509,70.4,3.2
201510,56.0,0.8
201511,46.6,3.5
201512,41.1,9.4
201601,26.9,1.3
201602,33.8,4.0
201603,47.3,4.9
201604,53.0,-0.8
201605,62.0,-1.7
201606,74.8,1.8
201607,75.6,0.2
201608,75.7,2.3
201609,70.8,3.6
201610,59.9,4.7
201611,48.1,5.0
201612,28.9,-2.8
201701,32.2,6.6
201702,41.1,11.3
201703,43.2,0.8
201704,56.5,2.7
201705,61.9,-1.8
201706,72.8,-0.2
201707,76.1,0.7
201708,70.5,-2.9
201709,68.8,1.6
201710,58.1,2.9
201711,41.9,-1.2
201712,29.8,-1.9
201801,24.2,-1.4
201802,31.9,2.1
201803,39.3,-3.1
201804,44.7,-9.1
201805,70.6,6.9
